title,author,genres,synopsis,publisher,year,isbn,cover,url
A History of Christianity: The First Three Thousand Years,Diarmaid MacCulloch,"['History', 'Religion', 'Nonfiction', 'Christianity', 'Theology', 'Christian', 'Church History']","The author of The Reformation returns with the definitive history of Christianity for our time. Once in a generation a historian will redefine his field, producing a book that demands to be read--a product of electrifying scholarship conveyed with commanding skill. Diarmaid MacCulloch's Christianity is such a book. Ambitious, it ranges back to the origins of the Hebrew Bible and covers the world, following the three main strands of the Christian faith.",Viking,2009,9780713998696,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348906986i/6957725.jpg,https://www.goodreads.com/book/show/6957725-a-history-of-christianity
The Song of Achilles,Madeline Miller,"['Fantasy', 'Historical Fiction', 'Romance', 'Fiction', 'Mythology', 'LGBT', 'Historical']",Alternate cover edition of ISBN 9780062060624.,Ecco,2012,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1357177533i/13623848.jpg,https://www.goodreads.com/book/show/13623848-the-song-of-achilles
The Giver,Lois Lowry,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']","At the age of twelve, Jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from The Giver, who alone holds the memories of the true joys and pain of life.",Ember,2006,9780385732550,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636.jpg,https://www.goodreads.com/book/show/3636.The_Giver
2001: A Space Odyssey,Arthur C. Clarke,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Space', 'Fantasy', 'Novels']","On the Moon, an enigma is uncovered.",Roc,2000,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432468943i/70535.jpg,https://www.goodreads.com/book/show/70535.2001
History of the Peloponnesian War,Thucydides,"['History', 'Classics', 'Nonfiction', 'War', 'Ancient History', 'Politics', 'Greece']","Written four hundred years before the birth of Christ, this detailed contemporary account of the long life-and-death struggle between Athens and Sparta stands an excellent chance of fulfilling its author's ambitious claim. Thucydides himself (c.460-400 BC) was an Athenian and achieved the rank of general in the earlier stages of the war. He applied thereafter a passion for accuracy and a contempt for myth and romance in compiling this factual record of a disastrous conflict.",Penguin Books,1972,9780140440393,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1422072332i/261243.jpg,https://www.goodreads.com/book/show/261243.History_of_the_Peloponnesian_War
Jane Eyre,Charlotte Brontë,"['Romance', 'Historical Fiction', 'Gothic', 'Literature', 'Historical', 'School', 'Novels']",Alternate editions can be found here and here.,Penguin,2003,9780142437209,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210.jpg,https://www.goodreads.com/book/show/10210.Jane_Eyre
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,"['Nonfiction', 'Psychology', 'Science', 'Medicine', 'Neuroscience', 'Medical', 'Short Stories']","In his most extraordinary book, Oliver Sacks recounts the stories of patients lost in the bizarre, apparently inescapable world of neurological disorders. These are case studies of people who have lost their memories and with them the greater part of their pasts; who are no longer able to recognize people or common objects; whose limbs have become alien; who are afflicted and yet are gifted with uncanny artistic or mathematical talents. In Dr Sacks' splendid and sympathetic telling, each tale is a unique and deeply human study of life struggling against incredible adversity.",Touchstone,1998,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1447047702i/63697.jpg,https://www.goodreads.com/book/show/63697.The_Man_Who_Mistook_His_Wife_for_a_Hat_and_Other_Clinical_Tales
The Ocean at the End of the Lane,Neil Gaiman,"['Fantasy', 'Fiction', 'Magical Realism', 'Horror', 'Audiobook', 'Young Adult', 'Adult']","A middle-aged man returns to his childhood home to attend a funeral. Although the house he lived in is long gone, he is drawn to the farm at the end of the road, where, when he was seven, he encountered a most remarkable girl, Lettie Hempstock, and her mother and grandmother. He hasn't thought of Lettie in decades, and yet as he sits by the pond (a pond that she'd claimed was an ocean) behind the ramshackle old farmhouse, the unremembered past comes flooding back. And it is a past too strange, too frightening, too dangerous to have happened to anyone, let alone a small boy.",William Morrow,2014,9780062255662,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1497098493i/18505792.jpg,https://www.goodreads.com/book/show/18505792-the-ocean-at-the-end-of-the-lane
The World's Religions,Huston Smith,"['Religion', 'Nonfiction', 'History', 'Philosophy', 'Spirituality', 'Theology', 'Reference']","Originally titled The Religions of Man, this completely revised and updated edition of Smith′s masterpiece, now with an engaging new foreword, explores the essential elements and teachings of the world′s predominant faiths, including:",HarperOne,1991,9780062508119,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385166652i/10285.jpg,https://www.goodreads.com/book/show/10285.The_World_s_Religions
A Promised Land,Barack Obama,"['Nonfiction', 'Biography', 'Memoir', 'Politics', 'Audiobook', 'History', 'Autobiography']","A riveting, deeply personal account of history in the making, from the president who inspired us to believe in the power of democracy.",Crown,2020,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1600357110i/55361205.jpg,https://www.goodreads.com/book/show/55361205-a-promised-land
The Hunger Games,Suzanne Collins,"['Young Adult', 'Fiction', 'Fantasy', 'Dystopia', 'Science Fiction', 'Romance', 'Adventure']","Could you survive on your own in the wild, with every one out to make sure you don't live to see the morning?",Scholastic Press,2008,9780439023481,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052.jpg,https://www.goodreads.com/book/show/2767052-the-hunger-games
The Time Traveler's Wife,Audrey Niffenegger,"['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult']","This is the extraordinary love story of Clare and Henry, who met when Clare was six and Henry was thirty-six, and were married when Clare was twenty-two and Henry was thirty. Impossible but true, because Henry suffers from a rare condition where his genetic clock periodically resets and he finds himself pulled suddenly into his past or future. In the face of this force they can neither prevent nor control, Henry and Clare's struggle to lead normal lives is both intensely moving and entirely unforgettable.",Zola Books,2013,9781939126016,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1380660571i/18619684.jpg,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
The Dhammapada,Anonymous,"['Buddhism', 'Philosophy', 'Religion', 'Spirituality', 'Nonfiction', 'Classics', 'Poetry']","The Dhammapada (Pāli; Prakrit: धम्मपद Dhammapada; Sanskrit: धर्मपद Dharmapada) is a collection of sayings of the Buddha in verse form and one of the most widely read and best known Buddhist scriptures. The original version of the Dhammapada is in the Khuddaka Nikaya, a division of the Pali Canon of Theravada Buddhism.",Parallax Press,2001,9780938077879,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442577801i/159964.jpg,https://www.goodreads.com/book/show/159964.The_Dhammapada
Me Before You,Jojo Moyes,"['Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Adult', 'Adult Fiction', 'Audiobook']",A newer edition of ISBN 978-0143124542 can be found here.,Penguin Books,2013,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1665087720i/17347634.jpg,https://www.goodreads.com/book/show/17347634-me-before-you
How to Win Friends and Influence People,Dale Carnegie,"['Self Help', 'Nonfiction', 'Business', 'Psychology', 'Personal Development', 'Leadership', 'Communication']",You can go after the job you want...and get it! You can take the job you have...and improve it! You can take any situation you're in...and make it work for you!,Gallery Books,1998,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442726934i/4865.jpg,https://www.goodreads.com/book/show/4865.How_to_Win_Friends_and_Influence_People
The Autobiography of Benjamin Franklin,Benjamin Franklin,"['Biography', 'History', 'Nonfiction', 'Classics', 'Autobiography', 'Memoir', 'American History']","Written initially to guide his son, Benjamin Franklin’s autobiography is a lively, spellbinding account of his unique and eventful life, now a classic of world literature that is sure to inspire and delight readers everywhere.",Touchstone,2004,9780743255066,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1428170518i/52309.jpg,https://www.goodreads.com/book/show/52309.The_Autobiography_of_Benjamin_Franklin
The Left Hand of Darkness,Ursula K. Le Guin,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Feminism', 'Speculative Fiction']","A groundbreaking work of science fiction, The Left Hand of Darkness tells the story of a lone human emissary to Winter, an alien world whose inhabitants spend most of their time without a gender. His goal is to facilitate Winter's inclusion in a growing intergalactic civilization. But to do so he must bridge the gulf between his own views and those of the completely dissimilar culture that he encounters.",Ace,2000,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1488213612i/18423.jpg,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness
The Art of Loving,Erich Fromm,"['Psychology', 'Philosophy', 'Nonfiction', 'Self Help', 'Love', 'Relationships', 'Classics']","The fiftieth Anniversary Edition of the groundbreaking international bestseller that has shown millions of readers how to achieve rich, productive lives by developing their hidden capacities for love",Harper Perennial Modern Classics,2006,9780061129735,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1438550243i/14142.jpg,https://www.goodreads.com/book/show/14142.The_Art_of_Loving
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"['Nonfiction', 'Science', 'Health', 'Psychology', 'Self Help', 'Audiobook', 'Neuroscience']",Alternate cover edition of ISBN 9781501144318.,Scribner,2017,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1556604137i/34466963.jpg,https://www.goodreads.com/book/show/34466963-why-we-sleep
Born a Crime: Stories From a South African Childhood,Trevor Noah,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Humor', 'Autobiography', 'Africa']","The memoir of one man’s coming-of-age, set during the twilight of apartheid and the tumultuous days of freedom that followed.",Doubleday Canada,2016,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1473867911i/29780253.jpg,https://www.goodreads.com/book/show/29780253-born-a-crime
Silk Roads,Peter Frankopan,"['History', 'Nonfiction', 'Politics', 'World History', 'Historical', 'Audiobook', 'China']","From the Middle East and its political instability to China and its economic rise, the vast region stretching eastward from the Balkans across the steppe and South Asia has been thrust into the global spotlight in recent years. Frankopan teaches us that to understand what is at stake for the cities and nations built on these intricate trade routes, we must first understand their astounding pasts.",Bloomsbury,2015,9781408839973,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1472636067i/25812847.jpg,https://www.goodreads.com/book/show/25812847-silk-roads
The Deal,Elle Kennedy,"['Romance', 'New Adult', 'Sports Romance', 'Sports', 'Contemporary', 'College', 'Contemporary Romance']","New York Times bestseller and TikTok sensation Elle Kennedy brings you the first in the sexy Off-Campus series that everyone is talking about. She's about to make a deal with the college bad boy... Hannah Wells has finally found someone who turns her on. But while she might be confident in every other area of her life, she's carting around a full set of baggage when it comes to sex and seduction. If she wants to get her crush's attention, she'll have to step out of her comfort zone and make him take notice...even if it means tutoring the annoying, childish, cocky captain of the hockey team in exchange for a pretend date. ...and it's going to be oh so good All Garrett Graham has ever wanted is to play professional hockey after graduation, but his plummeting GPA is threatening everything he's worked so hard for. If helping a sarcastic brunette make another guy jealous will help him secure his position on the team, he's all for it. But when one unexpected kiss leads to the wildest sex of both their lives, it doesn't take long for Garrett to realize that pretend isn't going to cut it. Now he just has to convince Hannah that the man she wants looks a lot like him.",Bloom Books,2015,9781775293934,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1557156071i/45484397.jpg,https://www.goodreads.com/book/show/45484397-the-deal
The Fellowship of the Ring,J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']","One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.",William Morrow,2022,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654215925i/61215351.jpg,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
The Lightning Thief,Rick Riordan,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']",Alternate cover for this ISBN can be found here,Disney Hyperion Books,2006,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187.jpg,https://www.goodreads.com/book/show/28187.The_Lightning_Thief
Siege and Storm,Leigh Bardugo,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Young Adult Fantasy', 'Magic', 'High Fantasy']",▶ Alternative Cover Edition #1,Henry Holt and Company,2013,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362166252i/14061955.jpg,https://www.goodreads.com/book/show/14061955-siege-and-storm
Assassin's Apprentice,Robin Hobb,"['Fantasy', 'Fiction', 'High Fantasy', 'Epic Fantasy', 'Adult', 'Magic', 'Science Fiction Fantasy']","In a faraway land where members of the royal family are named for the virtues they embody, one young boy will become a walking enigma.",Spectra Books,1996,9780553573398,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673728072i/77197.jpg,https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice
The Time Machine,H.G. Wells,"['Classics', 'Science Fiction', 'Fiction', 'Time Travel', 'Fantasy', 'Dystopia', 'Literature']",“I’ve had a most amazing time....”,Signet Classics,2002,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327942880i/2493.jpg,https://www.goodreads.com/book/show/2493.The_Time_Machine
Influence: The Psychology of Persuasion,Robert B. Cialdini,"['Psychology', 'Business', 'Nonfiction', 'Self Help', 'Personal Development', 'Leadership', 'Communication']","Influence, the classic book on persuasion, explains the psychology of why people say ""yes""—and how to apply these understandings. Dr. Robert Cialdini is the seminal expert in the rapidly expanding field of influence and persuasion. His thirty-five years of rigorous, evidence-based research along with a three-year program of study on what moves people to change behavior has resulted in this highly acclaimed book.",Harper Business,2006,9780061241895,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391026083i/28815.jpg,https://www.goodreads.com/book/show/28815.Influence
Hyperion,Dan Simmons,"['Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook', 'Time Travel']","On the world called Hyperion, beyond the law of the Hegemony of Man, there waits the creature called the Shrike. There are those who worship it. There are those who fear it. And there are those who have vowed to destroy it. In the Valley of the Time Tombs, where huge, brooding structures move backward through time, the Shrike waits for them all. On the eve of Armageddon, with the entire galaxy at war, seven pilgrims set forth on a final voyage to Hyperion seeking the answers to the unsolved riddles of their lives. Each carries a desperate hope—and a terrible secret. And one may hold the fate of humanity in his hands.",Bantam Doubleday Dell Publishing Group,1990,9780553283686,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405546838i/77566.jpg,https://www.goodreads.com/book/show/77566.Hyperion
Just Kids,Patti Smith,"['Nonfiction', 'Memoir', 'Music', 'Biography', 'Art', 'Autobiography', 'Biography Memoir']","In Just Kids, Patti Smith's first book of prose, the legendary American artist offers a never-before-seen glimpse of her remarkable relationship with photographer Robert Mapplethorpe in the epochal days of New York City and the Chelsea Hotel in the late sixties and seventies. An honest and moving story of youth and friendship, Smith brings the same unique, lyrical quality to Just Kids as she has to the rest of her formidable body of work--from her influential 1975 album Horses to her visual art and poetry.",Ecco,2010,9780066211312,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1259762407i/341879.jpg,https://www.goodreads.com/book/show/341879.Just_Kids
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan,"['Nonfiction', 'Science', 'Psychology', 'Health', 'Self Help', 'Philosophy', 'Audiobook']",Could psychedelic drugs change our worldview? One of America's most admired writers takes us on a mind-altering journey to the frontiers of human consciousness,ALLEN LANE,2018,9780241294222,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1545030338i/36613747.jpg,https://www.goodreads.com/book/show/36613747-how-to-change-your-mind
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"['History', 'Nonfiction', 'Science', 'Anthropology', 'Sociology', 'Politics', 'Economics']","""Diamond has written a book of remarkable scope ... one of the most important and readable works on the human past published in recent years.""",W.W. Norton & Company,2005,9780739467350,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1453215833i/1842.jpg,https://www.goodreads.com/book/show/1842.Guns_Germs_and_Steel
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"['Nonfiction', 'Memoir', 'Travel', 'Biography', 'Adventure', 'Audiobook', 'Biography Memoir']",An alternate cover for this ISBN can be found here.,Knopf,2012,9780307592736,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1453189881i/12262741.jpg,https://www.goodreads.com/book/show/12262741-wild
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,[],What does everyone in the modern world need to know? Renowned psychologist Jordan B. Peterson's answer to this most difficult of questions uniquely combines the hard-won truths of ancient tradition with the stunning revelations of cutting-edge scientific research.,Random House Canada,2018,9780345816023,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1512705866i/30257963.jpg,https://www.goodreads.com/book/show/30257963-12-rules-for-life
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,A.J. Jacobs,"['Nonfiction', 'Religion', 'Humor', 'Memoir', 'Biography', 'Spirituality', 'Biography Memoir']","Avoiding shellfish was easy. The stoning of adulterers proved a little more difficult - and potentially controversial. Was it enough to walk up to an adulterer and gently touch them with a stone? Even that could be grounds for accusations of assault, especially with female adulterers in Manhattan. So what's a good Bible-reading boy to do?",Simon & Schuster,2007,9780743291477,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327977486i/495395.jpg,https://www.goodreads.com/book/show/495395.The_Year_of_Living_Biblically
Divergent,Veronica Roth,"['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Adventure']","In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really is—she can't have both. So she makes a choice that surprises everyone, including herself.",Katherine Tegen Books,2012,9780062024039,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037.jpg,https://www.goodreads.com/book/show/13335037-divergent
The Lord of the Rings,J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'High Fantasy', 'Epic Fantasy']","One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them",Houghton Mifflin Harcourt,2005,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1566425108i/33.jpg,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Politics', 'Biography Memoir', 'Sociology']","Hillbilly Elegy is a passionate and personal analysis of a culture in crisis—that of white working-class Americans. The disintegration of this group, a process that has been slowly occurring now for more than forty years, has been reported with growing frequency and alarm, but has never before been written about as searingly from the inside. J. D. Vance tells the true story of what a social, regional, and class decline feels like when you were born with it hung around your neck.",Harper,2016,9780062300546,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1463569814i/27161156.jpg,https://www.goodreads.com/book/show/27161156-hillbilly-elegy
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"['Nonfiction', 'Psychology', 'Self Help', 'Science', 'Business', 'Audiobook', 'Personal Development']",The book that started the Quiet Revolution,"Crown Publishing Group/Random House, Inc.",2012,9780307352149,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328562861i/8520610.jpg,https://www.goodreads.com/book/show/8520610-quiet
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,"['Science', 'Nonfiction', 'Biography', 'Physics', 'Memoir', 'Autobiography', 'Humor']",A New York Times bestseller—the outrageous exploits of one of this century's greatest scientific minds and a legendary American original.,W. W. Norton & Company,2018,9780393355628,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1504936953i/35167685.jpg,https://www.goodreads.com/book/show/35167685-surely-you-re-joking-mr-feynman
Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,"['Nonfiction', 'Psychology', 'Audiobook', 'Self Help', 'Sociology', 'Science', 'Business']","Malcolm Gladwell, host of the podcast Revisionist History and author of the #1 New York Times bestseller Outliers, offers a powerful examination of our interactions with strangers -- and why they often go wrong.","Little, Brown and Company",2019,9780316478526,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1549393502i/43848929.jpg,https://www.goodreads.com/book/show/43848929-talking-to-strangers
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"['Personal Development', 'Psychology', 'Leadership', 'Productivity', 'Management', 'Audiobook', 'Philosophy']","When Stephen Covey first released The Seven Habits of Highly Effective People, the book became an instant rage because people suddenly got up and took notice that their lives were headed off in the wrong direction; and more than that, they realized that there were so many simple things they could do in order to navigate their life correctly. This book was wonderful education for people, education in how to live life effectively and get closer to the ideal of being a ‘success’ in life.",Free Press,2004,9780743269513,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1421842784i/36072.jpg,https://www.goodreads.com/book/show/36072.The_7_Habits_of_Highly_Effective_People
القرآن الكريم,Anonymous,"['Religion', 'Islam', 'Nonfiction', 'Classics', 'Philosophy', 'Spirituality', 'Reference']","The Quran (English pronunciation: /kɔrˈɑːn/; Arabic: القرآن al-qurʾān, IPA: [qurˈʔaːn], literally meaning ""the recitation""), also transliterated Qur'an, Koran, Al-Coran, Coran, Kur'an, and Al-Qur'an, is the central religious text of Islam, which Muslims believe to be the verbatim word of God (Arabic: الله, Allah).",Ebook,650,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1275263838i/646462.jpg,https://www.goodreads.com/book/show/646462._
Twisted Love,Ana Huang,"['Romance', 'Contemporary', 'Contemporary Romance', 'New Adult', 'Fiction', 'Adult', 'Audiobook']","He has a heart of ice...but for her, he'd burn the world.",Ebook,2021,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618487915i/55817097.jpg,https://www.goodreads.com/book/show/55817097-twisted-love
"The Lion, the Witch and the Wardrobe",C.S. Lewis,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure']","Narnia… the land beyond the wardrobe door, a secret place frozen in eternal winter, a magical country waiting to be set free.",HarperCollins Publishers,2005,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353029077i/100915.jpg,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
"Jesus, Interrupted: Revealing the Hidden Contradictions in the Bible & Why We Don't Know About Them",Bart D. Ehrman,"['Religion', 'Nonfiction', 'History', 'Christianity', 'Theology', 'Spirituality', 'Atheism']","Picking up where Bible expert Bart Ehrman's New York Times bestseller Misquoting Jesus left off, Jesus, Interrupted addresses the larger issue of what the New Testament actually teaches—& it's not what most people think. Here Ehrman reveals what scholars have unearthed:",HarperCollins (NY),2009,9780061173936,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348078937i/6101996.jpg,https://www.goodreads.com/book/show/6101996-jesus-interrupted
Jesus and John Wayne: How White Evangelicals Corrupted a Faith and Fractured a Nation,Kristin Kobes Du Mez,"['Nonfiction', 'History', 'Religion', 'Politics', 'Christianity', 'Christian', 'Audiobook']",A scholar of American Christianity presents a seventy-five-year history of evangelicalism that identifies the forces that have turned Donald Trump into a hero of the Religious Right.,Liveright Publishing Corporation,2020,9781631495731,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1611376522i/53121662.jpg,https://www.goodreads.com/book/show/53121662-jesus-and-john-wayne
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"['Biography', 'Nonfiction', 'Business', 'Science', 'Technology', 'Audiobook', 'Biography Memoir']","Elon Musk, the entrepreneur and innovator behind SpaceX, Tesla, and SolarCity, sold one of his internet companies, PayPal, for $1.5 billion. Ashlee Vance captures the full spectacle and arc of the genius's life and work, from his tumultuous upbringing in South Africa and flight to the United States to his dramatic technical innovations and entrepreneurial pursuits. Vance uses Musk's story to explore one of the pressing questions of our age: can the nation of inventors and creators who led the modern world for a century still compete in an age of fierce global competition? He argues that Musk is an amalgam of legendary inventors and industrialists including Thomas Edison, Henry Ford, Howard Hughes, and Steve Jobs. More than any other entrepreneur today, Musk has dedicated his energies and his own vast fortune to inventing a future that is as rich and far-reaching as the visionaries of the golden age of science-fiction fantasy",Ecco,2015,9780062301239,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1518291452i/25541028.jpg,https://www.goodreads.com/book/show/25541028-elon-musk
Red Rising,Pierce Brown,"['Science Fiction', 'Fantasy', 'Fiction', 'Dystopia', 'Young Adult', 'Audiobook', 'Adult']","""I live for the dream that my children will be born free,"" she says. ""That they will be what they like. That they will own the land their father gave them.""",Del Rey,2014,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1461354651i/15839976.jpg,https://www.goodreads.com/book/show/15839976-red-rising
Caste: The Origins of Our Discontents,Isabel Wilkerson,"['Nonfiction', 'History', 'Race', 'Audiobook', 'Social Justice', 'Sociology', 'Anti Racist']","The Pulitzer Prize–winning, bestselling author of The Warmth of Other Suns examines the unspoken caste system that has shaped America and shows how our lives today are still defined by a hierarchy of human divisions.",Random House,2020,9780593230251,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1597267568i/51152447.jpg,https://www.goodreads.com/book/show/51152447-caste
Harry Potter and the Cursed Child: Parts One and Two,J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Plays', 'Magic', 'Adventure', 'Middle Grade']","The eighth story, nineteen years later...","Little, Brown",2016,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1470082995i/29056083.jpg,https://www.goodreads.com/book/show/29056083-harry-potter-and-the-cursed-child
Cinder,Marissa Meyer,"['Fantasy', 'Young Adult', 'Science Fiction', 'Romance', 'Retellings', 'Fiction', 'Dystopia']","Humans and androids crowd the raucous streets of New Beijing. A deadly plague ravages the population. From space, a ruthless Lunar people watch, waiting to make their move. No one knows that Earth’s fate hinges on one girl. . . . Cinder, a gifted mechanic, is a cyborg.",Feiwel & Friends,2012,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507557775i/36381037.jpg,https://www.goodreads.com/book/show/36381037-cinder
